#,Letter,Old name1,Old name2,Name,Opened as a service station,Opened,Electrified,Electrified 550 V,Electrified 6000 V,Deelectrified 6000 V,Electrified 15 kV,Officially completed,Closed for S-Bahn trains,Closed,Deelectrified,Reopened,Reopened for S-Bahn trains,Reopened for regional trains,Reelectrified,Bahn1,Bahn2,Bahn3,Abbreviations1 (old),Abbreviations2 (old),Abbreviations,Latitude,Longitude
1,A,Bude 10 Adlershof,,Adlershof,,1872-01-01,1928-11-06,,,,,,,,,,,,,Görlitzer Bahn,,,Adl,,BADL,52.43515,13.54108
2,A,,,Ahrensfelde,,1898-05-01,1982-12-30,,,,,,,,,,,,,Wriezener Bahn,,,Ahr,,BAF,52.57148,13.56608
3,A,,,Albrechtshof,,1943-04-01,1951-08-14,,,,,,1961-10-09,1993-05-23,,,,1995-05-28,,Hamburger Bahn,,,As,,BAS,52.54955,13.12852
4,A,,,Alexanderplatz,,1882-02-07,1928-06-11,,,,,,,,,,,,,Stadtbahn,,,Ale,,BALX,52.52046,13.41450
5,A,Reinickendorf (Dorf),,Alt-Reinickendorf,,1893-10-01,1927-03-16,,,,,,,1984-01-09,,1995-05-28,,,,Kremmener Bahn,,,Rkd,,BARF,52.57792,13.35001
6,A,,,Altglienicke,1940-01-01,1948-07-26,1962-02-26,,,,,,,,,,,,,Flughafen-S-Bahn,,,Agl,Al,BAGL,52.40779,13.55941
7,A,,,Anhalter Bahnhof,,1939-10-09,1939-10-09,,,,,,,1945-04-01,,1946-06-02,,,,Nordsüd-S-Bahntunnel,,,Ahu,,BAHU,52.50464,13.38198
8,A,Mariendorf,,Attilastraße,,1895-02-15,1939-02-15,,,,,,,,,,,,,Dresdener Bahn,,,Ats,Ad,BATS,52.44738,13.36122
9,B,Nowawes,,Babelsberg,,1862-01-01,1928-06-11,,,,,,,1961-10-09,,1992-04-01,,,,Berlin-Potsdamer Eisenbahn,,,Bab,Bbg,BBAB,52.39154,13.09286
10,B,,,Baumschulenweg,,1890-05-20,1928-11-06,,,,,,,,,,,,,Görlitzer Bahn,,,Bsw,Bw,BBMW,52.46779,13.48976
11,B,,,Bellevue,,1882-02-07,1928-06-11,,,,,,,1994-10-30,,1996-11-11,,,,Stadtbahn,,,Bel,Bell,BBEV,52.52011,13.34792
12,B,,,Bergfelde,,1962-05-27,1962-05-27,,,,,,,,,,,,,Außenring,,,Bgf,,BBFE,52.66999,13.32131
13,B,Hauptbahnhof - Lehrter Bahnhof,,Berlin Hbf,,2002-05-26,2002-07-04,,,,,2006-05-26,,,,,,,,Stadtbahn,,,,,BHBF,52.52523,13.36938
14,B,,,Bernau,,1842-08-01,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Brn,,BBER,52.67626,13.59291
15,B,,,Bernau - Friedenstal,,1997-09-30,1997-09-30,,,,,,,,,,,,,Stettiner Bahn,,,,,BBRF,52.66854,13.56455
16,B,,,Betriebsbahnhof Rummelsburg,1902-03-01,1902-03-01,1928-06-11,,,,,,,1945-04-01,,1948-01-05,,,,Schlesischen Bahn,,,Rgv,,BRB,52.49384,13.49820
17,B,Nieder-Schöneweide,,Betriebsbahnhof Schöneweide,1927-11-17,1927-11-17,1928-11-06,,,,,,,,,,,,,Görlitzer Bahn,,,Swb,,BSCF,52.44681,13.52405
18,B,,,Beusselstraße,,1894-05-01,1929-02-01,,,,,,,1980-09-18,,1999-12-19,,,,Ringbahn,,,Beu,BeuS,BBEU,52.53445,13.32868
19,B,,,Biesdorf,,1885-08-01,1926-11-06,,,,,,,,,,,,,Ostbahn,,,Bsf,,BBDF,52.51336,13.55481
20,B,,,Birkenstein,,1992-12-21,1992-12-21,,,,,,,,,,,,,Ostbahn,,,,,BBIS,52.51689,13.64779
21,B,,,Birkenwerder,,1877-07-10,1925-06-05,,,,1983-10-01,,,,,,,,,Nordbahn,,,Bi,,BBIW,52.68783,13.28844
22,B,,,Blankenburg,,1877-06-01,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Bkb,,BBLB,52.59105,13.44303
23,B,,,Blankenfelde,,1950-10-08,1950-10-08,,,,,,,,1961-09-01,,,,1992-08-31,Dresdener Bahn,,,Bf,,BBFD,52.33701,13.41614
24,B,,,Borgsdorf,,1877-09-01,1925-10-04,,,,,,,,,,,,,Nordbahn,,,Bor,,BBOR,52.71479,13.27691
25,B,,,Bornholmer Straße,,1935-10-01,1935-10-01,,,,,,,1961-08-13,,1990-12-22,,,,Stettiner Bahn,,,Bos,,BBOS,52.55508,13.39625
26,B,,,Botanischer Garten,,1905-05-01,1933-05-05,,,,,,,1980-09-18,,1985-02-01,,,,Wannseebahn,,,Bgt,,BBGT,52.44803,13.30724
27,B,Unter den Linden,,Brandenburger Tor,,1936-07-27,1936-07-27,,,,,,,1961-08-13,,1990-09-01,,,,Nordsüd-S-Bahntunnel,,,BUDL,Ulu,BTOR,52.51668,13.38164
28,B,,,Buch,,1879-06-26,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Bu,,BBU,52.63670,13.49261
